cycle,component,fwhm,rise_time,decay_time,rise_decay_symmetry,sharpness
43,q,9.0,2.0,7.0,0.2222222222222222,-1.3682957791378914
43,r,,,,,
43,s,15.0,4.0,11.0,0.26666666666666666,-2.0956785884425004
43,t,,,,,
44,p,,,,,
44,q,2.0,1.0,1.0,0.5,-0.6260323142033472
44,r,,,,,
44,s,3.0,2.0,1.0,0.6666666666666666,-0.5937231010718875
44,t,,,,,
45,p,,,,,
45,q,3.0,1.0,2.0,0.3333333333333333,0.7744825754794001
45,r,,,,,
45,s,2.0,1.0,1.0,0.5,6.323789517229693
45,t,,,,,
46,p,,,,,
46,q,2.0,1.0,1.0,0.5,2.4653845586982177
46,r,,,,,
46,s,2.0,1.0,1.0,0.5,8.835063902946802
46,t,,,,,
47,p,,,,,
47,q,2.0,1.0,1.0,0.5,2.7317926591648254
47,r,,,,,
47,s,2.0,1.0,1.0,0.5,1.955712175124527
47,t,,,,,
48,p,,,,,
48,q,3.0,2.0,1.0,0.6666666666666666,1.6636804219563222
48,r,,,,,
48,s,2.0,1.0,1.0,0.5,4.250114395905447
48,t,,,,,
49,p,,,,,
49,q,2.0,1.0,1.0,0.5,3.417267967186324
49,r,,,,,
49,s,2.0,1.0,1.0,0.5,1.466428628603019
49,t,,,,,
50,p,,,,,
50,q,2.0,1.0,1.0,0.5,1.9039296063680826
50,r,,,,,
50,s,3.0,1.0,2.0,0.3333333333333333,1.4891527330705128
50,t,,,,,
51,p,,,,,
51,q,5.0,2.0,3.0,0.4,-1.6889946537833918
51,r,,,,,
51,s,2.0,1.0,1.0,0.5,-1.4849846794858546
51,t,,,,,
52,p,,,,,
52,q,3.0,2.0,1.0,0.6666666666666666,-0.6245374717543092
52,r,,,,,
52,s,2.0,1.0,1.0,0.5,10.65442413343143
52,t,,,,,
53,p,,,,,
53,q,6.0,2.0,4.0,0.3333333333333333,-0.5816180067568648
53,r,,,,,
53,s,6.0,2.0,4.0,0.3333333333333333,-0.5816180067568648
53,t,,,,,
54,p,,,,,
54,q,2.0,1.0,1.0,0.5,-2.354663941530065
54,r,,,,,
54,s,3.0,2.0,1.0,0.6666666666666666,0.9414763146904498
54,t,,,,,
55,p,,,,,
55,q,2.0,1.0,1.0,0.5,-0.8001102083443793
55,r,,,,,
55,s,6.0,5.0,1.0,0.8333333333333334,-0.8970210522300999
55,t,,,,,
56,p,,,,,
56,q,4.0,1.0,3.0,0.25,-1.0004207872238777
56,r,,,,,
56,s,2.0,1.0,1.0,0.5,-0.6823580164747608
56,t,,,,,
57,p,,,,,
57,q,3.0,2.0,1.0,0.6666666666666666,-0.4933919874236624
57,r,,,,,
57,s,11.0,7.0,4.0,0.6363636363636364,-3.131851429778077
57,t,,,,,
58,p,,,,,
58,q,4.0,3.0,1.0,0.75,-0.8678482317691636
58,r,,,,,
58,s,4.0,3.0,1.0,0.75,-0.8678482317691636
58,t,,,,,
59,p,,,,,
59,q,2.0,1.0,1.0,0.5,-2.351337963774997
59,r,,,,,
59,s,3.0,2.0,1.0,0.6666666666666666,-0.32345179415115666
59,t,,,,,
60,p,,,,,
60,q,2.0,1.0,1.0,0.5,-2.291000456196998
60,r,,,,,
60,s,3.0,2.0,1.0,0.6666666666666666,-0.4343826949415758
60,t,,,,,
61,p,,,,,
61,q,3.0,2.0,1.0,0.6666666666666666,0.7508378330034386
61,r,,,,,
61,s,4.0,1.0,3.0,0.25,-0.7580409973607136
61,t,,,,,
62,p,,,,,
62,q,2.0,1.0,1.0,0.5,-0.4308099711048321
62,r,,,,,
62,s,3.0,2.0,1.0,0.6666666666666666,2.135026064125328
62,t,,,,,
63,p,,,,,
63,q,2.0,1.0,1.0,0.5,1.3427385023998124
63,r,,,,,
63,s,5.0,1.0,4.0,0.2,-0.5104002944127283
63,t,,,,,
64,p,,,,,
64,q,3.0,2.0,1.0,0.6666666666666666,1.0471424012855555
64,r,,,,,
64,s,3.0,2.0,1.0,0.6666666666666666,-1.090517857383318
64,t,,,,,
65,p,,,,,
65,q,4.0,2.0,2.0,0.5,-1.5270973616819297
65,r,,,,,
65,s,8.0,5.0,3.0,0.625,-2.510088602061418
65,t,,,,,
66,p,,,,,
66,q,5.0,1.0,4.0,0.2,-0.9140220660256261
66,r,,,,,
66,s,2.0,1.0,1.0,0.5,-0.5914585993713329
66,t,,,,,
67,p,,,,,
67,q,2.0,1.0,1.0,0.5,1.1825902352653628
67,r,,,,,
67,s,2.0,1.0,1.0,0.5,1.2289832873510391
67,t,,,,,
68,p,,,,,
68,q,2.0,1.0,1.0,0.5,2.004246101492406
68,r,,,,,
68,s,2.0,1.0,1.0,0.5,-0.7618363409207993
68,t,,,,,
69,p,,,,,
69,q,3.0,1.0,2.0,0.3333333333333333,4.336856647412194
69,r,,,,,
69,s,3.0,2.0,1.0,0.6666666666666666,-0.45206364110593256
69,t,,,,,
70,p,,,,,
70,q,2.0,1.0,1.0,0.5,-0.7062899417135639
70,r,,,,,
70,s,10.0,7.0,3.0,0.7,-1.7309194602731723
70,t,,,,,
71,p,,,,,
71,q,4.0,3.0,1.0,0.75,4.614038851721585
71,r,,,,,
71,s,10.0,1.0,9.0,0.1,-2.0609198347156896
71,t,,,,,
72,p,,,,,
72,q,3.0,1.0,2.0,0.3333333333333333,11.978564622571751
72,r,,,,,
72,s,3.0,2.0,1.0,0.6666666666666666,-1.4238602661679323
72,t,,,,,
73,p,,,,,
73,q,4.0,1.0,3.0,0.25,-0.992286447876875
73,r,,,,,
73,s,2.0,1.0,1.0,0.5,2.2080088434021397
73,t,,,,,
74,p,,,,,
74,q,2.0,1.0,1.0,0.5,0.9409179685110048
74,r,,,,,
74,s,3.0,2.0,1.0,0.6666666666666666,9.659538413054332
74,t,,,,,
75,p,,,,,
75,q,3.0,2.0,1.0,0.6666666666666666,-1.2940227460075282
75,r,,,,,
75,s,2.0,1.0,1.0,0.5,1.341240661143416
75,t,,,,,
76,p,,,,,
76,q,3.0,1.0,2.0,0.3333333333333333,31.37091838546072
76,r,,,,,
76,s,2.0,1.0,1.0,0.5,1.4182512558173437
76,t,,,,,
77,p,,,,,
77,q,9.0,1.0,8.0,0.1111111111111111,-0.7331555609244845
77,r,,,,,
77,s,3.0,2.0,1.0,0.6666666666666666,-0.41782065024906234
77,t,,,,,
78,p,,,,,
78,q,4.0,2.0,2.0,0.5,0.9488985465173096
78,r,,,,,
78,s,2.0,1.0,1.0,0.5,-0.8835489400134717
78,t,,,,,
79,p,,,,,
79,q,12.0,8.0,4.0,0.6666666666666666,-56.767018275163935
79,r,,,,,
79,s,2.0,1.0,1.0,0.5,18.98910735390305
79,t,,,,,
80,p,,,,,
80,q,3.0,2.0,1.0,0.6666666666666666,-0.7036987736962368
80,r,,,,,
80,s,6.0,1.0,5.0,0.16666666666666666,-1.2692114318403886
80,t,,,,,
81,p,,,,,
81,q,2.0,1.0,1.0,0.5,1.140906779078613
81,r,,,,,
81,s,4.0,3.0,1.0,0.75,-0.6535783380474786
81,t,,,,,
82,p,,,,,
82,q,5.0,1.0,4.0,0.2,-1.4923408285936692
82,r,,,,,
82,s,13.0,10.0,3.0,0.7692307692307693,-7.616865037704978
82,t,,,,,
83,p,,,,,
83,q,2.0,1.0,1.0,0.5,1.76006249339747
83,r,,,,,
83,s,3.0,2.0,1.0,0.6666666666666666,-2.531451043197412
83,t,,,,,
84,p,,,,,
84,q,5.0,1.0,4.0,0.2,-4.515346652188297
84,r,,,,,
84,s,2.0,1.0,1.0,0.5,5.519447226326013
84,t,,,,,
85,p,,,,,
85,q,6.0,1.0,5.0,0.16666666666666666,-0.9462839279395068
85,r,,,,,
85,s,6.0,2.0,4.0,0.3333333333333333,-0.3851872344334868
85,t,,,,,
86,p,,,,,
86,q,2.0,1.0,1.0,0.5,-1.2114380329163177
86,r,,,,,
86,s,9.0,2.0,7.0,0.2222222222222222,-21.837307101039578
86,t,,,,,
87,p,,,,,
87,q,3.0,2.0,1.0,0.6666666666666666,-1.2307136771552254
87,r,,,,,
87,s,3.0,1.0,2.0,0.3333333333333333,1.1322860821347571
87,t,,,,,
88,p,,,,,
88,q,4.0,2.0,2.0,0.5,-2.9779534600594797
88,r,,,,,
88,s,3.0,2.0,1.0,0.6666666666666666,2.157596879009987
88,t,,,,,
89,p,,,,,
89,q,2.0,1.0,1.0,0.5,1.2330337146633548
89,r,,,,,
89,s,2.0,1.0,1.0,0.5,-0.6294382922972142
89,t,,,,,
90,p,,,,,
90,q,3.0,2.0,1.0,0.6666666666666666,-0.5913112320535557
90,r,,,,,
90,s,2.0,1.0,1.0,0.5,-0.6796426129666935
90,t,,,,,
91,p,,,,,
91,q,6.0,3.0,3.0,0.5,-0.43736673123798575
91,r,,,,,
91,s,2.0,1.0,1.0,0.5,1.6614778816591647
91,t,,,,,
92,p,,,,,
92,q,6.0,2.0,4.0,0.3333333333333333,-1.1813523556007612
92,r,,,,,
92,s,8.0,7.0,1.0,0.875,-4.418330807820541
92,t,,,,,
93,p,,,,,
93,q,13.0,5.0,8.0,0.38461538461538464,-1.4140084740612169
93,r,,,,,
93,s,13.0,2.0,11.0,0.15384615384615385,-2.655254976520468
93,t,,,,,
94,p,,,,,
94,q,3.0,1.0,2.0,0.3333333333333333,-0.42602403556199386
94,r,,,,,
94,s,2.0,1.0,1.0,0.5,-4.58750477434163
94,t,,,,,
95,p,,,,,
95,q,3.0,1.0,2.0,0.3333333333333333,-1.1628974142471402
95,r,,,,,
95,s,2.0,1.0,1.0,0.5,3.7168214719008503
95,t,,,,,
96,p,,,,,
96,q,7.0,2.0,5.0,0.2857142857142857,-1.0292844750609818
96,r,,,,,
96,s,2.0,1.0,1.0,0.5,2.6962892588341036
96,t,,,,,
97,p,,,,,
97,q,2.0,1.0,1.0,0.5,2.4296022107494024
97,r,,,,,
