cycle,r_squared,p_center,p_height,p_width,p_fwhm,p_rise_time,p_decay_time,p_rise_decay_symmetry,p_sharpness,p_on,p_off,q_center,q_height,q_width,q_fwhm,q_rise_time,q_decay_time,q_rise_decay_symmetry,q_sharpness,q_on,q_off,r_center,r_height,r_width,r_fwhm,r_rise_time,r_decay_time,r_rise_decay_symmetry,r_sharpness,r_on,r_off,s_center,s_height,s_width,s_fwhm,s_rise_time,s_decay_time,s_rise_decay_symmetry,s_sharpness,s_on,s_off,t_center,t_height,t_width,t_fwhm,t_rise_time,t_decay_time,t_rise_decay_symmetry,t_sharpness,t_on,t_off,pr_interval,pr_segment,qrs_duration,st_segment,qt_interval,p_duration,pp_interval,rr_interval
823,0.8881539488073855,756746.66027128,2080.4045998174115,3.0575584810660135,9.0,5.0,4.0,0.5555555555555556,0.14702713124152128,756742.0,756751.0,756884.74520346,-4706.414639063253,2.802761940950459,27.0,24.0,3.0,0.8888888888888888,-0.18605475715118847,756861.0,756888.0,756908.405474752,35059.09496483535,6.539777861186548,16.0,8.0,8.0,0.5,0.07295454109847876,756901.0,756916.0,756925.1340107056,-13829.504676550783,3.737015921261518,11.0,4.0,7.0,0.36363636363636365,-0.16168078991419543,756921.0,756932.0,757165.5369667793,6545.316484067755,27.09336542917878,76.0,44.0,32.0,0.5789473684210527,0.043440591214046365,757124.0,757197.0,119.0,110.0,71.0,265.0,336.0,9.0,811.0,834.0
824,0.9231678311263398,757614.0657460198,3552.7271614712704,10.276793783485022,23.0,10.0,13.0,0.43478260869565216,0.06258752002146631,757604.0,757627.0,757720.5753391,-4312.962014377057,4.671269901584105,20.0,15.0,5.0,0.75,-0.07459216515286893,757706.0,757726.0,757754.40547474,40464.13002710335,6.539777862211189,16.0,8.0,8.0,0.5,0.06875878267936551,757746.0,757762.0,757769.8206162652,-10517.596197231436,2.8027619409504627,10.0,3.0,7.0,0.3,-0.21741785962701854,757767.0,757777.0,758005.4717853847,7899.618679109039,35.72315695204712,85.0,40.0,45.0,0.47058823529411764,0.028711416748131515,757966.0,758050.0,102.0,79.0,71.0,273.0,344.0,23.0,868.0,846.0
825,0.8740817893311142,758453.1506781998,2999.0612480477807,7.994306165911142,26.0,12.0,14.0,0.46153846153846156,0.10720479120394158,758442.0,758464.0,758562.2356103798,-4222.5153632355095,7.573768763570077,26.0,15.0,11.0,0.5769230769230769,-0.12940066791908464,758548.0,758572.0,758591.40547474,36307.377999224664,6.489169593530028,16.0,8.0,8.0,0.5,0.07582306511232868,758583.0,758599.0,758608.25479654,-15540.747405616887,2.8027619409504627,10.0,3.0,7.0,0.3,-0.15283251681426868,758605.0,758615.0,758858.3862885796,7333.39569503147,17.750825626019594,63.0,38.0,25.0,0.6031746031746031,0.04121553101397682,758841.0,758882.0,106.0,84.0,67.0,267.0,334.0,22.0,839.0,837.0
826,0.8294322631814479,759232.0657460198,3532.2731936286377,8.408285822851658,24.0,12.0,12.0,0.5,0.08114049190646079,759220.0,759244.0,759345.5753391,-3601.6675267780874,4.307527827870459,17.0,12.0,5.0,0.7058823529411765,-0.19567720055665272,759334.0,759351.0,759371.40547474,35034.16927207775,6.5397778620817695,16.0,8.0,8.0,0.5,0.07155388022623975,759363.0,759379.0,759388.0631155074,-12343.8884134208,3.737015921267283,12.0,4.0,8.0,0.3333333333333333,-0.1741777590400573,759384.0,759396.0,759642.5561529397,8949.937244545928,15.882317665385793,89.0,71.0,18.0,0.797752808988764,0.030757718759432694,759572.0,759661.0,114.0,90.0,62.0,265.0,327.0,24.0,779.0,780.0
827,0.901280644949218,760051.2356103798,3782.734650080143,8.408285822851388,19.0,9.0,10.0,0.47368421052631576,0.09187478258854566,760042.0,760061.0,760161.2356103798,-2990.01943746847,7.611280738447131,57.0,47.0,10.0,0.8245614035087719,-0.18898305310446725,760115.0,760171.0,760190.40547474,39911.87238562429,6.4134366669207745,16.0,8.0,8.0,0.5,0.06893981197130611,760182.0,760198.0,760206.7721885315,-9871.250360573733,2.8027619409504627,11.0,3.0,8.0,0.2727272727272727,-0.21915696013197108,760204.0,760215.0,760456.6218989593,8490.243299235915,26.159111448870988,85.0,55.0,30.0,0.6470588235294118,0.0291472645418052,760402.0,760487.0,73.0,54.0,100.0,272.0,372.0,19.0,819.0,819.0
828,0.9344946062130168,760944.9808138398,3800.958719496552,10.902535346696578,28.0,15.0,13.0,0.5357142857142857,0.04382243578170067,760930.0,760958.0,761054.1506781998,-2875.6553370498777,7.643896202592173,22.0,10.0,12.0,0.45454545454545453,-0.11399535233351354,761045.0,761066.0,761087.40547474,39132.353147258844,6.539777862217747,16.0,8.0,8.0,0.5,0.06913721093813265,761079.0,761095.0,761103.66027128,-11171.51954038365,3.7370159212672838,10.0,4.0,6.0,0.4,-0.19762289286861867,761100.0,761110.0,761341.2985952792,7569.5537847905025,33.63314329140555,106.0,57.0,49.0,0.5377358490566038,0.03905890888220337,761301.0,761380.0,115.0,87.0,65.0,270.0,335.0,28.0,894.0,897.0
829,0.8999056244324948,761811.0769826383,3060.606119198493,8.408285822851388,19.0,10.0,9.0,0.5263157894736842,0.09681005763405737,761801.0,761820.0,761916.5753391,-4408.60785938786,4.671269901584105,30.0,25.0,5.0,0.8333333333333334,-0.06861843814511773,761892.0,761922.0,761952.40547474,36129.15546358438,6.539777862217738,16.0,8.0,8.0,0.5,0.07135446771853458,761944.0,761960.0,761969.25479654,-12974.333952975589,2.8027619409504627,10.0,3.0,7.0,0.3,-0.17234916137855344,761966.0,761976.0,762212.9424415191,6955.185486168944,33.63314329140555,100.0,61.0,39.0,0.61,0.031783507802147636,762159.0,762252.0,91.0,72.0,84.0,276.0,360.0,19.0,865.0,865.0
830,0.8961311276601054,762721.49040692,4142.356733296856,5.464801511339164,17.0,10.0,7.0,0.5882352941176471,0.07810201840970513,762711.0,762728.0,762810.2164242198,-2668.9095352479458,19.619333586652584,80.0,57.0,23.0,0.7125,-0.07123002953259427,762753.0,762833.0,762852.4054747436,40773.48785081284,6.5397777918262445,16.0,8.0,8.0,0.5,0.06863666715111368,762844.0,762860.0,762869.208755362,-8297.126724517675,2.802761940950188,11.0,3.0,8.0,0.2727272727272727,-0.25136941161385434,762866.0,762877.0,763119.0465598594,8565.491026561918,21.48784154713449,86.0,60.0,26.0,0.6976744186046512,0.040654553740559325,763068.0,763144.0,42.0,25.0,124.0,267.0,391.0,17.0,911.0,900.0
831,0.9012457720458062,763623.33972872,3397.6003368266906,3.7370159212672838,21.0,4.0,17.0,0.19047619047619047,0.06924542056339676,763619.0,763640.0,763730.74520346,-3081.6688661745557,2.8027619409504627,53.0,50.0,3.0,0.9433962264150944,-0.11500668539330033,763681.0,763734.0,763764.40547474,38156.176546962735,6.539777862205857,16.0,8.0,8.0,0.5,0.07106839130229384,763756.0,763772.0,763781.25479654,-12613.654500013114,2.8027619409504627,10.0,3.0,7.0,0.3,-0.1779556573695827,763778.0,763788.0,764017.0273736991,6364.8440075588505,32.69888931108873,85.0,38.0,47.0,0.4470588235294118,0.0409227423083683,763985.0,764064.0,62.0,41.0,107.0,276.0,383.0,21.0,901.0,912.0
832,0.8746811386594044,764429.33972872,3815.0696514611473,3.737015921267265,19.0,4.0,15.0,0.21052631578947367,0.08636122478734141,764425.0,764444.0,764538.6602075077,-2941.5665934854537,8.408285822851385,25.0,10.0,15.0,0.4,-0.11124757330710829,764529.0,764553.0,764573.4395333808,36067.06478094686,6.539777861857786,16.0,7.0,9.0,0.4375,0.07240694217071139,764566.0,764581.0,764590.33972872,-11588.039127961092,3.7370159212672514,12.0,4.0,8.0,0.3333333333333333,-0.18332521861968668,764586.0,764598.0,764837.9616276794,9084.571486657649,22.422095527603375,90.0,54.0,36.0,0.6,0.03594913091183221,764786.0,764864.0,104.0,85.0,69.0,266.0,335.0,19.0,806.0,809.0
